Name,Position (Latitude),Position (Longitude),Message,Address,Hours,Price,Video URL,영업 시간,Seating Type 1,Seating Count 1,Power Count 1,Seating Type 2,Seating Count 2,Power Count 2,Seating Type 3,Seating Count 3,Power Count 3,Seating Type 4,Seating Count 4,Power Count 4,Seating Type 5,Seating Count 5,Power Count 5,Co-work,ID
진주리,37.5867,126.9963,"권장 시간만 지켜주신다면, 카공은 언제나 환영입니다!",서울 종로구 성균관로7길 3 지하1층,2시간 ,"4,000원",https://youtube.com/shorts/jRQfKyqqgP4,"평일 12:00~22:00
토 13:00~22:00
일 13:00~20:00
*매주 목 정기휴무",1인석,3,0,2인석,1,0,3인석,2,2,4인석,2,0,5인석,1,0,0,1054975307
델라,37.58538,126.9971,3시간이 지나면 디저트나 음료를 추가로 주문 해주시면 감사하겠습니다.,"서울 종로구 성균관로 30 1,2층",3시간,"3,500원",https://youtube.com/shorts/EgN7rzMCNuE,매일 08:00~22:00,1인석,6,0,2인석,10,9,4인석,5,4,,,,,,,0,1111332307
벨하우스,37.58454,126.9976,2층에 카공할 공간이 마련되어 있습니다! 많이 방문해주세요.,"서울 종로구 성균관로4길 3 1, 2층",무제한,"4,000원",https://youtube.com/shorts/JO6ohDYM2Tc,"매일 11:00~21:00
20:00 라스트오더
*매주 월 정기휴무",2인석,7,5,,,,,,,,,,,,,0,1071513207
마띠에르,37.58232,126.9993,"카공하시는 분들이 별로 없어서, 카공에 대해 고려해본 적이 없어요.",서울 종로구 대학로11길 41-6 1층,1시간,"6,000원",https://youtube.com/shorts/BJ_-l80FiIY,매일 11:00~20:50,2인석,5,2,3인석,3,0,5인석,2,0,,,,,,,0,782133904
칠린,37.58213,126.9993,커피와 술을 함께 판매하고 있어 카공하기에 좋은 분위기가 아니니 참고 부탁드려요!,서울 종로구 대학로11길 41-8 1층 chillin,1시간,"4,500원",https://youtube.com/shorts/5Bdg1GOb7pc,"매일 12:00~24:00
23:30 라스트오더",2인석,6,3,4인석,1,0,6인석,1,0,16인석,1,0,,,,0,1067900892
로젤,37.58182,126.9995,주말에는 제한이 있지만 평일에는 환영입니다!,서울 종로구 창경궁로26길 33 1층,"평일 무제한
주말 2시간","4,000원",https://youtube.com/shorts/wmcCeudUc1A,매일 11:00~23:00,1인석,4,2,2인석,2,1,3인석,1,0,4인석,2,1,5인석,1,1,0,678589827
커피가게 디터틀,37.5815,126.9996,"한옥 분위기이며, 콘센트가 없으니 참고해주세요!",서울 종로구 대학로9가길 14 디터틀,2시간~3시간,"4,000원",https://youtube.com/shorts/_irfee1voD8,"일~월 11:00~22:00
화~토 11:00~23:00",2인석,8,1,3인석,1,0,6인석,1,0,,,,,,,0,1765894316
카페 혜화동,37.58186,126.9999,조용하고 작은 카페입니다! 카공하기에 나쁘지 않아요.,서울 종로구 창경궁로26길 40 2층,2시간,"5,000원",https://youtube.com/shorts/IZId28BfjiE,"매일 12:00~22:00
21:30 라스트오더",2인석,3,0,3인석,2,1,,,,,,,,,,0,575297453
서화커피,37.58156,127,책상과 의자가 작은 한옥 분위기의 카페입니다! 카공하기에 좋은 분위기가 아니니 참고해주세요!,서울 종로구 대학로9가길 8 1층 서화커피,2시간,"4,500원",https://youtube.com/shorts/P__mmuZO-qk,매일 11:00~22:00,2인석,3,0,3인석,2,1,,,,,,,,,,0,1223984349
카페랑솜,37.58229,127.0004,"책상과 의자가 작고, 회전율이 높아 카공하기에 좋은 분위기가 아니니 참고해주세요!",서울 종로구 대학로11길 22,1시간,"4,500원",https://youtube.com/shorts/o9iEWgp8cYg,매일 11:30~22:30,1인석,1,0,2인석,12,0,3인석,3,0,4인석,5,3,6인석,1,0,0,1822481162
스노브,37.58242,127.0011,카공 시간에 대한 제한이 없어요! ,서울 종로구 대학로11길 12,무제한,"3,500원",https://youtube.com/shorts/mdguVic216U,"일~목 11:00~21:30
금~토 11:00~22:00",2인석,8,1,3인석,4,0,,,,,,,,,,0,26451323
콘크리트팔레트,37.58248,127.0016,"카공 시간에 대한 제한이 없어요! 3층으로 되어있어 공간이 큰 편이라, 카공하기에 좋은 편입니다. ",서울 종로구 대학로 125 콘크리트 팔레트,무제한,"5,000원",https://youtube.com/shorts/W5I9Ojplw-w,"일~목 10:00~22:00
금~토 11:00~24:00",1인석,10,10,2인석,13,7,4인석,6,2,11인석,1,1,,,,0,1430842424
언니네 다락방,37.58202,127.0004,노트북 사용은 자제해주시면 감사하겠습니다. ,서울 종로구 대학로11길 23 1F,2시간,"4,300원",,"월 12:00~18:30
17:30 라스트오더
화~토 12:00~21:30
21:00 라스트오더
*매주 일 휴무",1인석,2,0,2인석,2,0,4인석,2,0,,,,,,,0,1769436835
에디션엠,37.58213,127.0009,"카공 시간에 대한 제한이 없어요! 한옥 분위기이며, 좌석의 형태가 매우 다양하고, 공간이 큰 편이라 카공하기에 나쁘지 않습니다!","서울 종로구 대학로11길 17-2 1층층 대학로11길 17-3(1 층), 대학로11길17-6(1층)",무제한,"5,000원",https://youtube.com/shorts/umZk84uE5Ac,"매일 11:00~23:00
21:30 라스트오더",2인석,14,2,3인석,11,4,4인석,3,0,10인석,1,0,,,,0,1761099960
헤이커피,37.58204,127.0006,카공 시간에 대한 제한이 없어요! ,서울 종로구 대학로11길 19-4 헤이커피,무제한,"4,500원",https://youtube.com/shorts/QnUMC-jAdLs,"월~금 12:00~22:00
토 13:00~22:00
21:30 라스트오더
*매주 일 휴무",1인석,4,1,2인석,2,1,3인석,2,0,4인석,3,0,,,,0,1937637283
세이버리 바이츠,37.58177,127.0005,"카공 시간에 대한 제한은 없지만, 카공하는 분위기가 아니에요… 맛있는 디저트를 즐기는 분위기 입니다! (회전율이 높은 편입니다.)",서울 종로구 대학로9길 28 1층,1시간,"4,500원",https://youtube.com/shorts/6rd7DoNgSfg,매일 11:00~21:00,1인석,7,0,2인석,3,1,3인석,1,0,4인석,1,0,,,,0,331910577
학림 커피,37.58151,127.0006,"카공 시간에 대한 제한은 없지만, 좌석의 수가 적고, 1인석이 없어요…",서울 종로구 대학로9길 23,무제한,"6,000원",https://youtube.com/shorts/tt5IaSe6mxs,"평일 11:00~21:00
주말 11:00~20:00",1인석,3,1,2인석,1,0,3인석,2,0,8인석,1,0,,,,0,15419388
플로릭카페,37.598405,127.054409,X,서울 동대문구 천장산로7길 64 1층,3시간,"3,000원",https://youtube.com/shorts/Vl3EYm1cA0w,"평일 09:00~20:00
토~일 12:00~18:00",1인석,4,4,2인석,8,1,4인석,2,2,,,,,,,0,27305218
헬로펠라스,37.598225,127.054467,애티켓만 지켜주신다면 좋습니다!,서울 동대문구 천장산로7길 62 2층,3시간,"3,000원",https://youtube.com/shorts/8_SkecNVexM?feature=share,"평일 07:20~19:00
18:50 라스트 오더
토 10:00~15:00
14:50 라스트 오더
*매주 일요일 휴무",1인석,20,15,2인석,10,4,3인석,3,1,4인석,1,,,,,0,1415631766
어빌리티커피,37.598259,127.056572,X,서울 동대문구 이문로9나길 6-14 1층 어빌리티커피,무제한,"4,000원",https://youtube.com/shorts/fbSqwtm2BMg,"평일 08:00~23:00
토일 09:00~22:00",1인석,16,,2인석,17,17,7인석,1,,,,,,,,0,1554090984
컴플리트커피,37.598267,127.05679,3시간 이상 체류 시 추가주문 부탁드려요~,서울 동대문구 천장산로7길 19 지하1층,3시간,"3,000원",https://youtube.com/shorts/iHZh4tCMDDg,"평일 08:00~23:00
토일 10:00~22:00",1인석,6,6,2인석,16,10,6인석,1,,,,,,,,0,13333488
